V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_12s0142g00160	M10	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_01s0150g00210	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_04s0044g01850	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_14s0068g00680	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_08s0040g00540	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_14s0006g02880	M4	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_15s0024g00040	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_06s0004g05310	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0037g00130	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_13s0019g04390	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_18s0041g00390	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_00s0125g00280	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_08s0007g07120	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_02s0025g00230	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0014g01800	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_16s0098g00560	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_02s0025g02770	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_12s0134g00240	M7	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_01s0010g03810	M2	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_14s0006g01580	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0015g02500	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_14s0068g00920	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s1306g00010	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_01s0026g00740	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0299g00010	M3	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_02s0025g04880	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_00s0203g00150	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_00s0524g00030	M4	FALSE	FALSE	TRUE	TRUE	TRUE
