Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M8	Veraison	2013	Cabernet Sauvignon - Pinot noir	-4.16895033307134	1.12851150872462	36	-3.69420276252465	0.000728182211808994	-6.45767775395313	-1.88022291218955	0.00262145596251238	0.00182045552952249	0.00655363990628095
M8	Harvest	2013	Cabernet Sauvignon - Pinot noir	-0.812489186564341	1.12851150872462	36	-0.71996535284126	0.476195007186484	-3.10121660744613	1.47623823431745	0.669649228855993	0.595243758983105	0.714292510779726
M8	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-1.20396392657763	1.12851150872462	36	-1.06686012262142	0.293137638082366	-3.49269134745942	1.08476349430416	0.462848902235315	0.989629921095773	0.52764774854826
M8	Veraison	2014	Cabernet Sauvignon - Pinot noir	0.546864461872364	1.12851150872462	36	0.484589175781115	0.630903266680901	-1.74186295900943	2.83559188275415	0.822917304366393	0.630903266680901	0.733006035973032
M8	Harvest	2014	Cabernet Sauvignon - Pinot noir	-1.79466459568671	1.12851150872462	36	-1.59029356972615	0.120513290855454	-4.0833920165685	0.494062825195078	0.241026581710908	0.17216184407922	0.271154904424772
M9	FruitSet	2012	Cabernet Sauvignon - Pinot noir	-0.032949108450716	3.68541955831106	36	-0.00894039550433596	0.992916053047995	-7.50732640575739	7.44142818885596	0.992916053047995	0.992916053047995	0.992916053047995
M9	Veraison	2012	Cabernet Sauvignon - Pinot noir	-0.201246244685798	3.68541955831106	36	-0.0546060608572948	0.956754234613939	-7.67562354199247	7.27313105262088	0.991705977140649	0.956754234613939	0.992916053047995
M9	Harvest	2012	Cabernet Sauvignon - Pinot noir	0.141114477680848	3.68541955831106	36	0.0382899356363966	0.969668066537523	-7.33326281962583	7.61549177498752	0.991705977140649	0.969668066537523	0.992916053047995
M9	FruitSet	2013	Cabernet Sauvignon - Pinot noir	-5.17971102699782	3.68541955831106	36	-1.40546034041551	0.168456212073291	-12.6540883243045	2.29466627030885	0.303221181731924	0.262046222617015	0.75805295432981
M9	Veraison	2013	Cabernet Sauvignon - Pinot noir	0.80211392512675	3.68541955831106	36	0.217645213098706	0.828934482443267	-6.67226337217992	8.27649122243342	0.961956821704832	0.828934482443267	0.992916053047995
M9	Harvest	2013	Cabernet Sauvignon - Pinot noir	0.719635073165004	3.68541955831106	36	0.195265440414278	0.846283072953505	-6.75474222414167	8.19401237047168	0.961956821704832	0.869034492818538	0.992916053047995
M9	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.214583709911587	3.68541955831106	36	-0.0582250423639489	0.953891373021356	-7.68896100721826	7.25979358739509	0.991705977140649	0.989629921095773	0.992916053047995
M9	Veraison	2014	Cabernet Sauvignon - Pinot noir	6.23013777528163	3.68541955831106	36	1.69048263751462	0.0995779266454039	-1.24423952202505	13.7045150725883	0.208418916234566	0.165963211075673	0.75805295432981
